objectid,datetimeprocessed,directionDegrees,displayState,latitude,longitude,sensorBits,sensorValues,sequenceId,servicetype,servicetype_timestamp,speedKmph,vehicle_name,vehicle_number
40027,6/28/2024 13:21,188,Idle,41.613931,-87.433748,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17170,Plowing,6/28/2024 13:21,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40079,6/28/2024 13:21,188,Idle,41.613931,-87.433747,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17171,Plowing,6/28/2024 13:21,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40132,6/28/2024 13:21,188,Idle,41.613932,-87.433752,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17172,Plowing,6/28/2024 13:21,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40185,6/28/2024 13:21,188,Idle,41.613937,-87.433752,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17173,Plowing,6/28/2024 13:21,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40236,6/28/2024 13:22,188,Idle,41.613935,-87.433753,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17174,Plowing,6/28/2024 13:22,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40287,6/28/2024 13:22,188,Idle,41.613935,-87.433751,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17175,Plowing,6/28/2024 13:22,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40341,6/28/2024 13:22,188,Idle,41.613927,-87.433745,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17176,Plowing,6/28/2024 13:22,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40390,6/28/2024 13:22,188,Idle,41.613917,-87.433736,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17177,Plowing,6/28/2024 13:22,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40441,6/28/2024 13:23,188,Idle,41.613907,-87.433734,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17178,Plowing,6/28/2024 13:23,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40499,6/28/2024 13:23,188,Idle,41.613898,-87.43374,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17179,Plowing,6/28/2024 13:23,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40555,6/28/2024 13:23,188,Idle,41.613893,-87.43374,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17180,Plowing,6/28/2024 13:23,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40613,6/28/2024 13:23,188,Idle,41.6139,-87.433749,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17181,Plowing,6/28/2024 13:23,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40666,6/28/2024 13:24,188,Idle,41.61391,-87.433753,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17182,Plowing,6/28/2024 13:24,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40720,6/28/2024 13:24,188,Idle,41.613926,-87.433762,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17183,Plowing,6/28/2024 13:24,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40778,6/28/2024 13:24,188,Idle,41.613932,-87.433763,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17184,Plowing,6/28/2024 13:24,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40825,6/28/2024 13:24,188,Idle,41.613939,-87.433763,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17185,Plowing,6/28/2024 13:24,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40879,6/28/2024 13:25,188,Idle,41.613946,-87.433767,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17186,Plowing,6/28/2024 13:25,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
40928,6/28/2024 13:25,188,Idle,41.613954,-87.433767,2,"[""Sensor PTO1-OFF"",""Sensor PTO2-ON"",""Sensor PTO4-OFF""]",17187,Plowing,6/28/2024 13:25,0,147 - PUBLIC WORKS,147 - PUBLIC WORKS
